source,target
RELA,TP53
NFKB1,TP53
STAT1,TP53
RELA,NFKBIA
RELA,NFKB1
RELA,BIRC3
NFKB1,NFKBIA
NFKB1,BIRC3
TP53,XIAP
TP53,UBE2O
TP53,TRIM26
TP53,STAT3
TP53,STAT1
TP53,RNF31
TP53,RIPK1
TP53,RELA
TP53,LRSAM1
TP53,CEBPB
TP53,BIRC3
STAT3,NR3C1
STAT3,DCLRE1C
STAT3,CEBPB
STAT2,PSMA5
STAT2,PCGF5
STAT2,NR3C1
STAT2,IRF7
STAT2,FAM84B
STAT2,DCLRE1C
STAT1,PSMA5
STAT1,PCGF5
STAT1,NR3C1
STAT1,IRF7
STAT1,FAM84B
STAT1,DCLRE1C
RELA,XIAP
RELA,TRIM26
RELA,RNF31
RELA,GTPBP1
NR3C1,UBR2
NR3C1,PSME1
NR3C1,LRSAM1
NFKB1,XIAP
NFKB1,SIN3A
NFKB1,RNF31
NFKB1,RIPK1
NFKB1,NR3C1
NFKB1,JUND
NFKB1,GTPBP1
NFKB1,C4B
NFKB1,C4A
JUND,PCGF5
JUND,HPDL
IRF7,WBP4
IRF7,TCF12
IRF7,QKI
IRF7,PSME2
IRF7,CHMP5
IRF7,ANKFY1
HSF1,UBR2
HSF1,CHORDC1
HNF4A,STAT2
HNF4A,SAMHD1
HNF4A,RNF31
HNF4A,PSMA5
HNF4A,PCGF5
HNF4A,JUND
HNF4A,GTPBP1
HNF4A,ESRRA
HNF4A,DNPEP
HNF4A,DCLRE1C
HNF4A,CEBPB
HNF4A,C4B
HNF4A,C4A
CEBPB,UHRF1BP1
CEBPB,TRIM26
CEBPB,STAT3
CEBPB,PSME2
CEBPB,LRSAM1
CEBPB,JUND
CEBPB,FAM84B
CEBPB,CHMP5
CEBPB,HSF1
CEBPB,NFKB1
CEBPB,NR3C1
CEBPB,RELA
ESRRA,GTF2B
GTF2B,ESRRA
GTF2B,HSF1
GTF2B,RELA
HNF4A,TP53
HSF1,CEBPB
HSF1,GTF2B
HSF1,STAT1
NFKB1,CEBPB
NFKB1,PPP2R2A
NFKB1,RELA
NFKB1,STAT3
NFKBIA,NFKB1
NFKBIA,RELA
NFKBIA,TP53
NR3C1,CEBPB
NR3C1,NFKB1
NR3C1,RELA
NR3C1,STAT3
NR3C1,TP53
RELA,CEBPB
RELA,GTF2B
RELA,NR3C1
RELA,PPP2R2A
RELA,SIN3A
RELA,STAT1
RELA,STAT3
SIN3A,NFKB1
SIN3A,RELA
SIN3A,TP53
STAT1,HSF1
STAT1,PPP2R2A
STAT1,RELA
STAT1,STAT2
STAT1,STAT3
STAT2,PPP2R2A
STAT2,STAT1
STAT3,NFKB1
STAT3,RELA
STAT3,STAT1
TP53,HNF4A
TP53,NFKBIA
TP53,NR3C1
TP53,SERPINB9
TP53,SIN3A
CEBPB,NFKBIA
CEBPB,PSME1
CEBPB,TCF12
CEBPB,QKI
ESRRA,NFKBIA
ESRRA,RNF31
ESRRA,PSME1
ESRRA,PSME2
ESRRA,IPO4
SIN3A,NFKBIA
SIN3A,RNF31
SIN3A,PSME1
SIN3A,PSME2
SIN3A,STAT1
SIN3A,IPO4
NR3C1,NFKBIA
NR3C1,PSME2
NR3C1,IPO4
GTF2B,JUND
HNF4A,NFKBIA
HNF4A,PSME1
HNF4A,PSME2
HNF4G,SAMHD1
HNF4G,HNF4A
HNF4G,NFKBIA
HNF4G,RNF31
HNF4G,PSME1
HNF4G,PSME2
HNF4G,IPO4
HSF1,PSME1
HSF1,IPO4
JUND,CEBPB
JUND,HNF4A
JUND,NFKBIA
JUND,RNF31
JUND,PSME1
JUND,PSME2
JUND,STAT1
JUND,STAT3
JUND,TCF12
JUND,IPO4
NFKB1,INPP1
NFKB1,STAT1
STAT1,TARS
STAT1,WARS
STAT2,GMPR
STAT3,NAMPT
STAT3,FAM83B
STAT3,PANX1
STAT3,BIRC3
STAT3,STAT2
STAT3,TARS
STAT3,TJP2
TCF12,HNF4A
TCF12,BIRC3
TCF12,JUND
TCF12,NFKBIA
TCF12,RNF31
TCF12,PSME1
TCF12,PSME2
TCF12,IPO4
