source,target
NFKB1,CXCL1
STAT3,IRF1
STAT1,PSMB9
STAT1,IRF1
NFKB1,SORL1
NFKB1,IRF1
NFKB1,CXCL10
MAX,ZNFX1
MAX,UNC93B1
MAX,TRIM25
MAX,STAT3
MAX,CLN3
MAX,ABTB2
STAT3,DNAJA1
STAT3,CLN3
STAT2,UTRN
STAT2,UBA7
STAT2,SECTM1
STAT2,RNF213
STAT2,RFX5
STAT2,RBCK1
STAT2,PSMB9
STAT2,PRKD2
STAT2,PARP10
STAT2,NUB1
STAT2,IRF7
STAT2,IRF1
STAT2,IFIT3
STAT2,GSDMD
STAT2,FMR1
STAT2,ETV6
STAT2,DGKG
STAT2,CLN3
STAT2,CD44
STAT2,CD274
STAT2,CASP7
STAT1,UTRN
STAT1,UBA7
STAT1,TYMP
STAT1,TAP1
STAT1,SECTM1
STAT1,RNF213
STAT1,RFX5
STAT1,RBCK1
STAT1,PRKD2
STAT1,PARP10
STAT1,NUB1
STAT1,IRF7
STAT1,IFIT3
STAT1,GSDMD
STAT1,GBP1
STAT1,FMR1
STAT1,ETV6
STAT1,DNAJA1
STAT1,DGKG
STAT1,CXCL10
STAT1,CLN3
STAT1,CD44
STAT1,CD274
STAT1,CASP7
STAT1,CASP4
NFKB1,TNFSF10
NFKB1,TNFRSF11A
NFKB1,TAPBP
NFKB1,TAP1
NFKB1,OAS2
NFKB1,KCNT2
NFKB1,IRF2
NFKB1,HLA-E
NFKB1,HLA-C
MAX,TYMP
MAX,TREX1
MAX,TRAFD1
MAX,TAPBP
MAX,TAP2
MAX,SP100
MAX,SLC25A28
MAX,SECTM1
MAX,RFX5
MAX,PSMB8
MAX,PSMB10
MAX,PRKD2
MAX,PLEKHA4
MAX,PI4K2B
MAX,PDIA4
MAX,OAS1
MAX,NAPA
MAX,MYD88
MAX,LY6E
MAX,LRRC45
MAX,LGALS8
MAX,LAP3
MAX,ISG20
MAX,IRF9
MAX,IRF2
MAX,IFITM2
MAX,HERC5
MAX,GTPBP2
MAX,GSDMD
MAX,GPR180
MAX,GNB4
MAX,FMR1
MAX,FAM46A
MAX,EHD4
MAX,DHX58
MAX,CCDC88B
MAX,CASP8
MAX,BST2
MAX,BAZ1A
MAX,ANKIB1
MAX,ADAR
IRF7,ZNFX1
IRF7,USP18
IRF7,TDRD7
IRF7,TAPBP
IRF7,TAP1
IRF7,SP110
IRF7,SLC25A28
IRF7,PSMB9
IRF7,PSMB10
IRF7,PNPT1
IRF7,PML
IRF7,MAP2
IRF7,ISG15
IRF7,IRF2
IRF7,FAM46A
IRF7,EPSTI1
IRF7,BST2
IRF1,ZNFX1
IRF1,USP18
IRF1,TDRD7
IRF1,TAPBP
IRF1,TAP1
IRF1,SP110
IRF1,SAMD9L
IRF1,PSMB10
IRF1,NUB1
IRF1,ISG15
IRF1,IRF9
IRF1,FAM46A
IRF1,EHD4
IRF1,DTX3L
IRF1,CXCL10
IRF1,BST2
EBF1,TRIM5
EBF1,SAMD9
EBF1,MT2A
EBF1,DENND3
EBF1,CLN3
EBF1,CASP7
EBF1,BST2
EBF1,APOBEC3G
EIF2AK2,CASP7
EIF2AK2,CASP8
EIF2AK2,IRF1
EIF2AK2,STAT1
EIF2AK2,STAT3
ELF1,NFKB1
IRF1,EIF2AK2
IRF1,IRF8
IRF1,NFKB1
IRF1,STAT1
IRF2,IRF8
IRF2,NFKB1
IRF2,STAT1
IRF7,MYD88
IRF8,IRF1
IRF8,IRF2
IRF9,STAT1
IRF9,STAT2
IRF9,STAT3
MAX,CASP7
NFKB1,ELF1
NFKB1,STAT3
NMI,IFI35
NMI,STAT1
NMI,STAT3
PML,STAT3
STAT1,EIF2AK2
STAT1,IRF2
STAT1,IRF9
STAT1,NMI
STAT1,STAT2
STAT1,STAT3
STAT2,IRF9
STAT2,STAT1
STAT3,EIF2AK2
STAT3,IRF9
STAT3,NFKB1
STAT3,NMI
STAT3,PML
STAT3,STAT1
TRIM25,DDX58
TRIM25,UBE2L6
EBF1,OPTN
EBF1,PIK3AP1
EBF1,LAMP3
EBF1,CCDC88B
EBF1,IFIT1
EBF1,IFIT3
EBF1,IRF2
EBF1,MX2
EBF1,PARP14
EBF1,STX17
EBF1,PSMB9
EBF1,RFX5
EBF1,CD44
ELF1,CLN3
IRF1,ZC3HAV1
IRF1,PSMB8
IRF1,PSMB9
IRF1,CEACAM1
IRF1,TAP2
MAX,OPTN
MAX,IRF8
MAX,CEACAM1
MAX,SORL1
MAX,STAT1
NFKB1,OPTN
NFKB1,IFIT1
NFKB1,IFIT3
NFKB1,PARP14
NFKB1,PSMB8
NFKB1,PSMB9
NFKB1,RFX5
NFKB1,IFIH1
NFKB1,STAT1
NFKB1,CD44
RAD21,OPTN
RAD21,IRF9
RAD21,TREX1
RAD21,CNP
RAD21,LRRC45
RAD21,ABTB2
RAD21,AGO2
RAD21,CD274
RAD21,IRF8
RAD21,IFI35
RAD21,IRF2
RAD21,RND3
RAD21,NBN
RAD21,PARP14
RAD21,GTPBP2
RAD21,PSMB9
RAD21,CEACAM1
RAD21,ERAP2
RAD21,STAT3
RAD21,TAP2
RAD21,CASP8
RAD21,INPP4B
RAD21,UBE2L6
RFX5,HLA-C
RFX5,HLA-E
RFX5,GTPBP2
RFX5,PSMB8
RFX5,PSMB9
RFX5,TAP1
RFX5,TAP2
STAT1,ADAR
STAT1,IFITM2
STAT1,USP18
STAT1,CMPK2
STAT1,DTX3L
STAT1,DDX58
STAT1,IFIT5
STAT1,HLA-E
STAT1,IRF8
STAT1,IFIT1
STAT1,AGRN
STAT1,LY6E
STAT1,MX1
STAT1,OAS1
STAT1,OAS2
STAT1,OAS3
STAT1,LAP3
STAT1,PLSCR1
STAT1,PML
STAT1,GTPBP2
STAT1,DDX60
STAT1,ZC3HAV1
STAT1,PSMB8
STAT1,TRIM21
STAT1,BST2
STAT1,DHX58
STAT1,PARP9
STAT1,PNPT1
STAT1,NAPA
STAT1,DDX60L
STAT1,RSAD2
STAT1,UBE2L6
STAT1,ISG15
STAT2,ADAR
STAT2,IFITM2
STAT2,USP18
STAT2,CMPK2
STAT2,DTX3L
STAT2,TYMP
STAT2,DDX58
STAT2,IFIT5
STAT2,HLA-E
STAT2,IFI35
STAT2,SP110
STAT2,IFIT1
STAT2,AGRN
STAT2,LY6E
STAT2,MX1
STAT2,OAS1
STAT2,OAS2
STAT2,OAS3
STAT2,LAP3
STAT2,PLSCR1
STAT2,PML
STAT2,PARP14
STAT2,GTPBP2
STAT2,SAMD9
STAT2,DDX60
STAT2,ZC3HAV1
STAT2,SP100
STAT2,TRIM21
STAT2,BST2
STAT2,TAP1
STAT2,TRIM25
STAT2,DHX58
STAT2,PARP9
STAT2,PNPT1
STAT2,NAPA
STAT2,NMI
STAT2,DDX60L
STAT2,RSAD2
STAT2,UBE2L6
STAT2,ISG15
STAT3,DTX3L
STAT3,ETV6
STAT3,CD274
STAT3,IRF2
STAT3,MT2A
STAT3,PLSCR1
STAT3,PSMB9
STAT3,RNF213
STAT3,STAT2
STAT3,TRIM25
STAT3,GSDMD
STAT3,PARP9
