Name,RNAseq 8h,RNAseq 24h,Prot 8h,Prot 24h
PTK2B,Up,Not regulated,Up,Up
EPB41L2,Not regulated,Up,Not regulated,Up
GALM,Up,Up,Not regulated,Up
MIA2,Up,Up,Not regulated,Up
FYCO1,Up,Up,Not regulated,Up
ST5,Up,Up,Not regulated,Up
NDC1,Not regulated,Down,Not regulated,Down
IGDCC3,Not regulated,Down,Not regulated,Down
ARL10,Down,Down,Not regulated,Down
CMC4,Not regulated,Down,Not regulated,Down
TRIQK,Not regulated,Down,Not regulated,Down
WDFY1,Up,Not regulated,Not regulated,Up
ECE1,Up,Not regulated,Not regulated,Up
CACNG5,Down,Not regulated,Up,Down
ROR1,Down,Not regulated,Not regulated,Down
CERS1,Down,Not regulated,Not regulated,Down
KMT2D,Not regulated,Up,Not regulated,Down
