,RNA-seq 8h,RNA-seq 24h,Proteomics 8h,Proteomics 24h
VPS13C,Up,,Down,Down
WDFY2,,,,Up
WDR6,,,,Up
WLS,,,,Up
WNT4,,,Up,
YARS,,,,Up
YIPF1,Up,,,
YRDC,,,,Up
ZBTB2,,Up,,
ZBTB8OS,,,,Up
ZDHHC13,,,Up,Down
ZDHHC3,Up,,,
ZFAND1,,Up,,
ZFAND3,,,,Up
ZNF227,,,,Up
ZNF460,,Up,,
ZNF512,,,,Up
ZNF574,,,Up,
ZNF608,Up,,,
ZNF618,Up,,,
ZNF625,,Up,,
ZNF687,,Up,,
ZSCAN23,,Up,,
A1CF,Down,Down,Down,Down
AAAS,Down,Down,,Down
AACS,,Down,Down,Down
AADAT,Down,Down,,Down
AAED1,Down,Down,,Down
AAGAB,,Down,Down,Down
AAK1,,Down,Down,Down
AAMDC,,Down,Down,Down
AAMP,Down,Down,,Down
AAR2,Down,Down,,Down
AARS,,Down,Down,Down
AARS2,,Down,Down,Down
AASDH,,Down,Down,Down
AASDHPPT,Down,Down,,Down
AATF,Down,Down,Down,
AATK,Down,Down,,Down
ABAT,Down,Down,,Down
ABCA2,Down,,Down,Down
ABCA3,Down,Down,,Down
ABCA5,Down,Down,,Down
ABCA7,Down,Down,Down,
ABCB10,Down,Down,,Down
ABCB4,Down,Down,,Down
ABCB6,Down,Down,,Down
ABCB7,Down,Down,,Down
ABCB8,Down,Down,,Down
ABCB9,Down,Down,,Down
ABCC1,Down,Down,,Down
ABCC10,Down,Down,,Down
ABCC5,Down,Down,,Down
ABCC8,Down,Down,Down,
ABCD1,Down,Down,,Down
ABCD3,,Down,Down,Down
ABCD4,Down,Down,Down,
ABCE1,Down,Down,,Down
ABCF1,,Down,Down,Down
ABCF2,,Down,Down,Down
ABCF3,Down,Down,,Down
ABCG1,,,Down,Down
ABCG2,Down,,Down,
ABHD10,Down,Down,,
ABHD11,Down,,,Down
ABHD12,Down,,Down,
ABHD13,,,Down,Down
ABHD14A,,,Down,Down
ABHD14B,,,Down,Down
ABHD15,,Down,,Down
ABHD16A,,,Down,Down
ABHD17A,,Down,,Down
ABHD17B,,,Down,Down
ABHD17C,,Down,,Down
ABHD2,,,Down,Down
ABHD3,,Down,,Down
ABHD4,,,Down,Down
ABHD6,Down,Down,,
ABI1,,,Down,Down
ABI2,,Down,,Down
ABL1,Down,,,Down
ABL2,,,Down,Down
ABLIM1,,,Down,Down
ABR,,,Down,Down
ABRACL,,Down,,Down
ABT1,,Down,,Down
ABTB1,Down,Down,,
ACAA2,,,Down,Down
ACACA,,Down,,Down
ACACB,,Down,,Down
ACAD10,,Down,,Down
ACAD11,,Down,,Down
ACAD8,,Down,,Down
ACAD9,Down,Down,,
ACADM,,Down,,Down
ACADSB,,Down,,Down
ACADVL,,Down,Down,
ACAP2,,Down,,Down
ACAP3,Down,,,Down
ACAT1,,,Down,Down
ACAT2,Down,Down,,
ACBD3,,Down,,Down
ACBD5,Down,Down,,
ACBD6,,Down,,Down
ACBD7,,Down,,Down
ACD,Down,,Down,
ACE,,,Down,Down
ACIN1,Down,Down,,
ACLY,Down,Down,,
ACO1,,Down,,Down
ACO2,,Down,,Down
ACOT11,,Down,,Down
ACOT13,,,Down,Down
ACOT2,,,Down,Down
ACOT4,,,Down,Down
ACOT8,,,Down,Down
ACOX1,,,Down,Down
ACOX3,Down,,,Down
ACP1,,Down,,Down
ACP5,Down,Down,,
ACP6,Down,Down,,
ACSF2,,,Down,Down
ACSF3,,,Down,Down
ACSL1,Down,,,Down
ACSL3,,,Down,Down
ACSL4,,Down,,Down
ACSM3,,,Down,Down
ACSS2,,Down,,Down
ACTG1,,Down,,Down
ACTL6A,Down,,,Down
ACTL6B,Down,,,Down
ACTN1,Down,,,Down
ACTN2,,Down,,Down
ACTN4,,,Down,Down
ACTR10,,,Down,Down
ACTR1A,,Down,,Down
ACTR1B,Down,,,Down
ACTR2,,Down,,Down
ACTR3,,Down,,Down
ACTR3B,,Down,,Down
ACTR3C,,Down,,Down
ACTR5,,Down,,Down
ACTR6,,Down,,Down
ACTR8,,,Down,Down
ACVR1,,,Down,Down
ACVR1B,,,Down,Down
ACVR1C,,,Down,Down
ACVR2A,,,Down,Down
ACY1,,Down,Down,
ACYP1,,,Down,Down
ACYP2,,Down,,Down
ADAL,Down,Down,,
ADAM10,,,Down,Down
ADAM15,,Down,Down,
ADAM17,,Down,,Down
ADAM22,Down,Down,,
ADAM9,Down,,,Down
ADAMTS2,Down,,,Down
ADAT1,,Down,,Down
ADAT2,,,Down,Down
ADAT3,,,Down,Down
ADCK1,,,Down,Down
ADCK2,,Down,,Down
ADCK5,,,Down,Down
ADCY9,,,Down,Down
ADD3,,Down,,Down
ADH5,,,Down,Down
ADH6,,,Down,Down
ADI1,,,Down,Down
ADIPOR1,,,Down,Down
ADIPOR2,,Down,Down,
ADK,,,Down,Down
ADNP,Down,Down,,
ADO,,Down,,Down
ADPGK,,,Down,Down
ADRM1,Down,,,Down
ADSL,,,Down,Down
ADSS,,Down,,Down
AEBP2,,,Down,Down
AES,Down,,,Down
AFF1,,Down,,Down
AFF4,Down,Down,,
AFG3L2,Down,Down,,
AFMID,,,Down,Down
AFTPH,,,Down,Down
AGAP1,Down,Down,,
AGAP3,,,Down,Down
AGFG1,Down,Down,,
AGFG2,,,Down,Down
AGGF1,Down,,,Down
AGK,,Down,,Down
AGL,,Down,,Down
AGMAT,,,Down,Down
AGO1,,Down,,Down
AGO2,Down,Down,,
AGO3,,Down,,Down
AGO4,Down,Down,,
AGPAT1,,Down,,Down
AGPAT2,Down,Down,,
AGPAT3,,,Down,Down
AGPAT4,Down,,,Down
AGPAT5,,Down,,Down
AGPS,,,Down,Down
AGTPBP1,Down,Down,,
AHCTF1,Down,,,Down
AHCY,,,Down,Down
AHCYL1,,,Down,Down
AHCYL2,Down,,,Down
AHDC1,,Down,Down,
AHI1,,Down,Down,
AHR,,Down,,Down
AHSA1,,Down,,Down
AIFM1,Down,Down,,
AIG1,,Down,,Down
AIMP1,Down,,Down,
AIMP2,,,Down,Down
AIP,,,Down,Down
AK1,Down,,,Down
AK2,Down,,,Down
AK3,,Down,,Down
AK4,,Down,,Down
AK7,,,Down,Down
AKAP1,,,Down,Down
AKAP11,,Down,,Down
AKAP13,,Down,,Down
AKAP17A,,,Down,Down
AKAP5,,Down,,Down
AKAP8,Down,,,Down
AKAP8L,Down,Down,,
AKAP9,,Down,,Down
AKIRIN2,,,Down,Down
AKR1A1,Down,,Down,
AKR1B1,,,Down,Down
AKR1C2,,Down,,Down
AKR1C3,,Down,,Down
AKR1C4,,,Down,Down
AKR7A2,,Down,,Down
AKT1,,Down,,Down
AKT1S1,,,Down,Down
AKT2,,Down,,Down
AKT3,,Down,,Down
AKTIP,,,Down,Down
ALAD,,,Down,Down
ALAS1,,Down,,Down
ALCAM,Down,Down,,
ALDH16A1,,,Down,Down
ALDH18A1,,,Down,Down
ALDH1A1,,,Down,Down
ALDH1B1,,,,Down
ALDH2,,,Down,
ALDH3A2,,,Down,
ALDH4A1,,Down,,
ALDH5A1,,,,Down
ALDH6A1,,,,Down
ALDH7A1,,,Down,
ALDH9A1,,,Down,
ALDOA,,,,Down
ALDOC,,,Down,
ALG1,,,Down,
ALG10B,,,,Down
ALG11,,,Down,
ALG12,,,,Down
ALG13,,,,Down
ALG14,,,,Down
ALG2,,,Down,
ALG3,,,Down,
ALG5,,,,Down
ALG6,,,,Down
ALG8,,,,Down
ALG9,Down,,,
ALKBH1,,,,Down
ALKBH2,,,,Down
ALKBH3,,,,Down
ALKBH4,,Down,,
ALKBH5,,,,Down
ALKBH6,,Down,,
ALKBH7,,,,Down
ALKBH8,,,,Down
ALMS1,,Down,,
ALOX5,,,Down,
ALPK3,,,,Down
ALYREF,,,Down,
AMACR,,,,Down
AMDHD1,,Down,,
AMDHD2,,,,Down
AMER3,,,,Down
AMFR,,,Down,
AMIGO1,,,,Down
AMIGO2,,Down,,
AMIGO3,,,,Down
AMMECR1,,Down,,
AMMECR1L,,,,Down
AMN,,,Down,
AMN1,,,,Down
AMOTL1,,,Down,
AMPD2,Down,,,
AMPD3,,,,Down
AMZ2,Down,,,
ANAPC1,,Down,,
ANAPC10,,,,Down
ANAPC16,,,Down,
ANAPC2,,,,Down
ANAPC4,,,,Down
ANAPC5,,,Down,
ANG,,,,Down
ANGEL1,,,,Down
ANGEL2,,,,Down
ANK1,,,,Down
ANK3,,,,Down
ANKH,,,,Down
ANKHD1,Down,,,
ANKLE2,,,Down,
ANKRD10,,Down,,
ANKRD11,,,,Down
ANKRD12,,,Down,
ANKRD13A,,,,Down
ANKRD13B,,,,Down
ANKRD13D,,,,Down
ANKRD17,,,,Down
ANKRD26,,,,Down
ANKRD27,,,Down,
ANKRD28,,,,Down
ANKRD39,,,,Down
ANKRD40,,,Down,
ANKRD46,,,,Down
ANKRD49,,,,Down
ANKRD50,,,,Down
ANKRD52,Down,,,
ANKRD54,Down,,,
ANKRD65,,,,Down
ANKS1A,,,,Down
ANKS1B,Down,,,
ANKS3,,,,Down
ANKS4B,,Down,,
ANKZF1,,,,Down
ANLN,,,,Down
ANO10,,,,Down
ANO6,,,,Down
ANO8,,,,Down
ANP32A,,,,Down
ANP32B,,,,Down
ANP32E,,,,Down
ANTXR2,,,,Down
ANXA10,,,Down,
ANXA11,,,,Down
ANXA13,,,,Down
ANXA4,,Down,,
ANXA5,,,,Down
ANXA7,,,,Down
AP1AR,,,,Down
AP1B1,,,,Down
AP1G1,,,,Down
AP1M1,,,,Down
AP1M2,,,,Down
AP1S1,Down,,,
AP1S2,,,,Down
AP1S3,,,,Down
AP2A1,,,Down,
AP2A2,,,Down,
AP2B1,,,,Down
AP2S1,,,,Down
AP3B2,,,,Down
AP3D1,,Down,,
AP3M1,,,Down,
AP3M2,,,Down,
AP3S1,,,,Down
AP3S2,,Down,,
AP4E1,,,,Down
AP4M1,,Down,,
AP4S1,,,,Down
AP5B1,,,,Down
AP5M1,,,Down,
AP5S1,,,,Down
AP5Z1,,,,Down
APAF1,,,,Down
APBA3,,,Down,
APBB1,,,,Down
APBB2,,,Down,
APC,,,Down,
APEH,,,Down,
APEX1,,,Down,
APH1A,,,,Down
APH1B,,Down,,
API5,,,,Down
APIP,,,Down,
APLP1,,,,Down
APLP2,,,,Down
APMAP,,,Down,
APOA1,,,,Down
APOA2,,,,Down
APOA4,,,,Down
APOB,,,Down,
APOC1,,Down,,
APOC3,,,Down,
APOH,,,Down,
APOM,,,,Down
APOO,,,Down,
APOOL,,Down,,
APP,,,,Down
APPBP2,,,Down,
APPL1,,,,Down
APPL2,,,Down,
APRT,,,Down,
APTX,,,,Down
AQP11,,,,Down
AQR,,,,Down
ARAF,,,Down,
ARAP1,,,,Down
ARCN1,,,,Down
ARF1,,,,Down
ARF3,,,,Down
ARF4,,,,Down
ARF5,,,,Down
ARF6,,Down,,
ARFGAP1,,,,Down
ARFGAP2,,,Down,
ARFGAP3,,,,Down
ARFGEF1,,,Down,
ARFGEF2,,,,Down
ARFIP1,,,,Down
ARFIP2,,,Down,
ARFRP1,,,,Down
ARG2,,,Down,
ARGLU1,,,Down,
ARHGAP1,,Down,,
ARHGAP10,,,,Down
ARHGAP11A,,,Down,
ARHGAP11B,,,,Down
ARHGAP12,,,,Down
ARHGAP17,,,,Down
ARHGAP19,,,,Down
ARHGAP21,,Down,,
ARHGAP26,,,Down,
ARHGAP32,,,,Down
ARHGAP35,,,,Down
ARHGAP39,,Down,,
ARHGAP4,,,,Down
ARHGAP44,,,,Down
ARHGAP5,,,,Down
ARHGDIA,,,,Down
ARHGEF1,,,,Down
ARHGEF10L,,,,Down
ARHGEF11,,,Down,
ARHGEF12,,,,Down
ARHGEF16,,Down,,
ARHGEF18,,,Down,
ARHGEF2,,Down,,
ARHGEF26,,Down,,
ARHGEF28,,Down,,
ARHGEF35,,,Down,
ARHGEF39,,,,Down
ARHGEF40,,,Down,
ARHGEF7,,,Down,
ARHGEF9,,,,Down
ARID1A,,,Down,
ARID1B,,,Down,
ARID2,,,Down,
ARID3A,,,,Down
ARID3B,,,Down,
ARID4A,,,,Down
ARID4B,,,,Down
ARID5B,,,,Down
ARIH1,,,,Down
ARIH2,,,,Down
ARL1,,,,Down
ARL10,,,,Down
ARL13B,,,,Down
ARL14EP,,,,Down
ARL15,,,Down,
ARL2,,,,Down
ARL2BP,,,,Down
ARL3,Down,,,
ARL4C,,,,Down
ARL5A,,,,Down
ARL6,,,,Down
ARL6IP1,,,,Down
ARL6IP4,,,,Down
ARL6IP5,,,Down,
ARL6IP6,,,Down,
ARL8A,,,,Down
ARL8B,,,,Down
ARMC1,,,Down,
ARMC10,,,,Down
ARMC5,,,Down,
ARMC6,,Down,,
ARMC7,,,,Down
ARMC8,,,Down,
ARMC9,,,Down,
ARMCX2,,,Down,
ARMCX3,,,,Down
ARMCX5,,,,Down
ARNT,,,,Down
ARNT2,,,,Down
ARNTL,,,Down,
ARPC1A,,,,Down
ARPC1B,,,,Down
ARPC2,,,,Down
ARPC4,,,Down,
ARPC5,,,,Down
ARPP19,,Down,,
ARRB1,,,,Down
ARRB2,,,,Down
ARRDC1,,,,Down
ARSA,,,,Down
ARSD,,,,Down
ARSE,,,Down,
ARSK,,,,Down
ARV1,,,,Down
ARVCF,,,,Down
AS3MT,,,,Down
ASAH1,,,,Down
ASAP1,,,,Down
ASAP2,,,,Down
ASB1,,,Down,
ASB6,,,,Down
ASB9,,,,Down
ASCC2,,Down,,
ASCL2,,,,Down
ASF1A,,,,Down
ASF1B,,,,Down
ASH1L,,,,Down
ASH2L,,,,Down
ASIC1,,,,Down
ASL,,,Down,
ASMTL,,,,Down
ASNA1,,,,Down
ASNS,,,Down,
ASNSD1,,,,Down
ASPH,,,,Down
ASPM,,,,Down
ASPSCR1,Down,,,
ASRGL1,,,,Down
ASS1,,,,Down
ASXL1,,,Down,
ASXL2,,,Down,
ATAD1,,,,Down
ATAD2,,,,Down
ATAD2B,,,Down,
ATAD3A,,,,Down
ATAD3B,,,,Down
ATAD3C,,,Down,
ATAT1,,,,Down
ATE1,,,Down,
ATF1,,Down,,
ATF2,,Down,,
ATF6,,,,Down
ATF6B,,,,Down
ATF7,,,,Down
ATF7IP,,,,Down
ATG12,,,,Down
ATG13,,Down,,
ATG14,,,,Down
ATG16L1,,,Down,
ATG2A,,,Down,
ATG2B,,,,Down
ATG3,,,,Down
ATG4B,,,,Down
ATG4C,,,,Down
ATG5,,,Down,
ATG7,,,Down,
ATG9A,,,,Down
ATIC,,,,Down
ATL1,,,,Down
ATL2,,,,Down
ATL3,,,Down,
ATM,Down,,,
ATMIN,,,,Down
ATP11A,,,Down,
ATP11B,,,,Down
ATP13A1,,,,Down
ATP13A2,,,Down,
ATP13A3,,,Down,
ATP1A1,,,,Down
ATP1A3,,,,Down
ATP1B1,,,,Down
ATP1B3,,,Down,
ATP2A2,,,,Down
ATP2A3,,,,Down
ATP2B1,,Down,,
ATP2B4,,Down,,
ATP2C1,,Down,,
ATP2C2,,Down,,
ATP5A1,,,,Down
ATP5B,,,,Down
ATP5C1,,,,Down
ATP5D,,,,Down
ATP5E,,,,Down
ATP5F1,,,Down,
ATP5G2,,Down,,
ATP5H,,Down,,
ATP5I,,Down,,
ATP5J,,,Down,
ATP5J2,,,Down,
ATP5L,,,,Down
ATP5O,,Down,,
ATP5S,,,,Down
ATP6AP1,,,,Down
ATP6AP2,,,Down,
ATP6V0A2,,,,Down
ATP6V0C,,,Down,
ATP6V0D1,,,,Down
ATP6V1A,,,,Down
ATP6V1B1,,,,Down
ATP6V1B2,,,,Down
ATP6V1C1,,,,Down
ATP6V1E1,,,Down,
ATP6V1F,,,,Down
ATP6V1G1,,,Down,
ATP7A,,,,Down
ATP7B,,,,Down
ATP8A1,,,,Down
ATP8B1,,,,Down
ATP8B2,,,,Down
ATP9A,,,,Down
ATP9B,,,,Down
ATPAF1,,Down,,
ATPAF2,,,Down,
ATPIF1,,,,Down
ATR,,,,Down
ATRAID,,,,Down
ATRN,,,,Down
ATRNL1,,,,Down
ATRX,,,,Down
ATXN10,,,Down,
ATXN1L,,,,Down
ATXN2,,Down,,
ATXN2L,,,,Down
ATXN3,,Down,,
ATXN7L2,,Down,,
ATXN7L3,,,,Down
AUH,,Down,,
AUP1,,,Down,
AURKA,,,Down,
AURKAIP1,,,,Down
AURKB,,,,Down
AVEN,Down,,,
AVL9,,,,Down
B3GALT2,,,,Down
B3GALT4,,,,Down
B3GALT5,,,,Down
B3GALT6,,,,Down
B3GAT3,,,,Down
B3GNT2,,,,Down
B3GNT8,,,,Down
B3GNT9,,,,Down
B4GALT1,,,,Down
B4GALT3,,,,Down
B4GALT4,,,Down,
B4GALT5,,,,Down
B4GALT7,,,,Down
B9D1,,,,Down
BABAM1,,,,Down
BACE1,,,,Down
BACH1,,,,Down
BAD,,,,Down
BAG1,,,,Down
BAG2,,,,Down
BAG3,,,Down,
BAG4,,,,Down
BAG5,,,,Down
BAG6,,,,Down
BAHD1,,,Down,
BAIAP2,,,,Down
BAIAP2L1,,,,Down
BAIAP3,,,,Down
BAK1,,,,Down
BANF1,,,,Down
BANP,,,Down,
BAP1,,,,Down
BAX,,,,Down
BAZ1B,,,Down,
BAZ2B,,,Down,
BBS1,,,,Down
BBS2,,,Down,
BBS4,,,,Down
BBS5,,,Down,
BBS7,,,,Down
BBS9,,,Down,
BCAM,,,Down,
BCAP29,,,Down,
BCAP31,,,,Down
BCAR1,,,Down,
BCAS2,,,Down,
BCAT1,,,,Down
BCAT2,,,,Down
BCKDHA,,,,Down
BCKDHB,,,,Down
BCKDK,,,,Down
BCL10,,,,Down
BCL2L1,,,,Down
BCL2L11,,,Down,
BCL2L13,,,,Down
BCL2L2,Down,,,
BCL7A,,Down,,
BCL7B,,,,Down
BCL7C,,,,Down
BCL9,,,Down,
BCL9L,,,,Down
BCLAF1,,,,Down
BCOR,,,Down,
BCR,,,,Down
BCS1L,,,Down,
BDH1,,,,Down
BDH2,,Down,,
BDP1,,,Down,
BECN1,,,,Down
BEND3,,,,Down
BEND5,,,,Down
BEND7,,,Down,
BFAR,,,,Down
BHLHB9,,,,Down
BICD1,,Down,,
BICD2,,,,Down
BID,,,,Down
BIN1,,Down,,
BIN3,,,,Down
BIRC5,,,,Down
BIRC6,,,,Down
BLM,,,,Down
BLMH,,,,Down
BLOC1S1,,,,Down
BLOC1S2,,,,Down
BLOC1S3,,,,Down
BLOC1S4,,,,Down
BLOC1S5,,,Down,
BLOC1S6,Down,,,
BLVRA,,,,Down
BLVRB,,,,Down
BMF,,,,Down
BMI1,,,,Down
BMP1,,,,Down
BMP2K,,,Down,
BMP5,,,,Down
BMP8A,,,,Down
BMP8B,,,,Down
BMPR1A,,,,Down
BMS1,,,,Down
BNIP1,,,,Down
BNIP3,,,,Down
BNIP3L,Down,,,
BOD1,,,,Down
BOD1L1,,,,Down
BOK,,Down,,
BOLA1,,,,Down
BOLA2,,,,Down
BOP1,,,Down,
BPGM,,,,Down
BPHL,,,,Down
BPNT1,,,,Down
BPTF,,,,Down
BRAF,,,,Down
BRAT1,,,Down,
BRCA1,,,,Down
BRCC3,,Down,,
BRD3,,,,Down
BRD4,,,,Down
BRD7,Down,,,
BRD8,,Down,,
BRD9,Down,,,
BRF1,,Down,,
BRI3,,,Down,
BRI3BP,,,Down,
BRIP1,,,,Down
BRIX1,,,Down,
BRK1,,,,Down
BRMS1,,,Down,
BRMS1L,Down,,,
BROX,,,,Down
BRPF1,,,Down,
BRPF3,,,,Down
BRSK2,,,,Down
BRWD1,,,,Down
BSDC1,,,,Down
BSG,,,,Down
BSN,Down,,,
BSPRY,,,,Down
BTAF1,,,Down,
BTBD1,,Down,,
BTBD10,Down,,,
BTBD17,,,,Down
BTBD3,,,,Down
BTBD7,,,,Down
BTBD9,,,,Down
BTD,,,,Down
BTF3,,,,Down
BTF3L4,,,,Down
BTG1,,,,Down
BTG3,,Down,,
BTRC,,,Down,
BUB1,,,,Down
BUB1B,,,,Down
BUB3,,,,Down
BUD13,,,,Down
BUD31,,,,Down
BYSL,,,,Down
BZW1,,,,Down
BZW2,,Down,,
C10ORF76,,,,Down
C11ORF49,Down,,,
C11ORF54,,,Down,
C11ORF58,,,,Down
C11ORF68,,,,Down
C11ORF70,,,,Down
C11ORF84,,,Down,
C11ORF95,,,,Down
C12ORF10,,,,Down
C12ORF29,,,,Down
C12ORF4,,,,Down
C12ORF43,,,Down,
C12ORF57,,Down,,
C12ORF65,,,,Down
C12ORF66,,,Down,
C12ORF73,,,,Down
C12ORF75,,,,Down
C14ORF119,,,,Down
C14ORF2,,,,Down
C14ORF93,Down,,,
C15ORF39,,,,Down
C15ORF40,,Down,,
C15ORF48,,Down,,
C15ORF61,,,,Down
C16ORF45,,,,Down
C16ORF58,,,,Down
C16ORF62,,,Down,
C16ORF70,,,,Down
C16ORF87,,,,Down
C17ORF100,,,Down,
C17ORF49,,,,Down
C17ORF75,,,Down,
C17ORF80,,,,Down
C17ORF97,,,,Down
C18ORF21,,,,Down
C18ORF25,,,,Down
C18ORF32,,,,Down
C19ORF12,,,,Down
C19ORF25,,,Down,
C19ORF53,,,Down,
C19ORF70,,,Down,
C1D,,,,Down
C1GALT1,,Down,,
C1ORF109,,,,Down
C1ORF112,,Down,,
C1ORF122,,,,Down
C1ORF123,,Down,,
C1ORF131,,,,Down
C1ORF174,,,,Down
C1ORF21,,,,Down
C1ORF210,,,,Down
C1ORF35,,,,Down
C1ORF43,,,,Down
C1ORF50,,,,Down
C1ORF52,,,,Down
C1ORF53,,,,Down
C1ORF56,,,,Down
C1QBP,,,Down,
C1QL1,,,Down,
C1QTNF6,,Down,,
C20ORF24,,,,Down
C20ORF27,,,,Down
C21ORF2,,,,Down
C21ORF33,,,,Down
C21ORF59,,,,Down
C22ORF39,,,,Down
C2CD2,,,Down,
C2CD2L,,,,Down
C2CD3,,,,Down
C2CD4C,,,Down,
C2CD5,,,,Down
C2ORF15,,,,Down
C2ORF49,,,,Down
C2ORF54,,,,Down
C2ORF69,,,,Down
C2ORF72,,,,Down
C2ORF76,,,,Down
C3ORF33,,,,Down
C3ORF38,,,,Down
C3ORF80,,,,Down
C4ORF19,,,,Down
C4ORF48,,,Down,
C5,,Down,,
C5ORF22,,,Down,
C5ORF24,,,,Down
C5ORF30,,,,Down
C5ORF42,,,Down,
C5ORF51,,,,Down
C6ORF106,,,,Down
C6ORF120,,,Down,
C6ORF136,,,Down,
C6ORF203,,,,Down
C6ORF47,,,,Down
C6ORF89,,,,Down
C7ORF43,,,,Down
C7ORF50,,,,Down
C8ORF33,,,,Down
C8ORF37,,,,Down
C8ORF59,,,,Down
C8ORF76,Down,,,
C8ORF82,,,,Down
C9ORF40,,,,Down
C9ORF64,,,,Down
C9ORF72,,,Down,
C9ORF78,,,,Down
C9ORF85,,,,Down
CA5B,,,,Down
CA8,,,,Down
CAAP1,,,Down,
CAB39,,,,Down
CAB39L,,,,Down
CABIN1,,,,Down
CABLES1,,,,Down
CABLES2,,,,Down
CACFD1,,,Down,
CACNA1C,,,,Down
CACNA1D,,,,Down
CACNA1H,,,,Down
CACNA2D1,,,,Down
CACNA2D2,,,Down,
CACNB2,,,,Down
CACNB3,,,,Down
CACNG4,,,Down,
CACTIN,,,,Down
CACUL1,,,,Down
CACYBP,,,Down,
CAD,,,,Down
CADM1,,,Down,
CADM4,,,Down,
CADPS,,,,Down
CALB2,,,Down,
CALCOCO1,,,,Down
CALM2,,,Down,
CALML4,,Down,,
CALU,,,,Down
CALY,,,,Down
CAMK1,,,,Down
CAMK1D,,,,Down
CAMK2B,,,,Down
CAMK2D,,,,Down
CAMK2G,,,,Down
CAMK4,,,,Down
CAMKK1,,,Down,
CAMKK2,,,,Down
CAMKV,,Down,,
CAMLG,,Down,,
CAMSAP1,,,,Down
CAMSAP2,,,,Down
CAMSAP3,,,,Down
CAND1,,,,Down
CAND2,,,,Down
CANT1,,,,Down
CANX,,,,Down
CAP1,,,,Down
CAPG,,,Down,
CAPN1,,,,Down
CAPN10,,,,Down
CAPN13,,,,Down
CAPN15,,,,Down
CAPN2,,,,Down
CAPN5,,,,Down
CAPN7,Down,,,
CAPNS1,,,Down,
CAPRIN1,,,Down,
CAPZA1,Down,,,
CAPZA2,,,,Down
CAPZB,,,,Down
CARD10,,,,Down
CARHSP1,,,,Down
CARM1,,,,Down
CARS2,,,Down,
CASC3,,,,Down
CASC4,,,Down,
CASD1,,,Down,
CASK,Down,,,
CASKIN2,,,,Down
CASP2,,,,Down
CASP3,,,,Down
CASP6,,,,Down
CASP9,,,,Down
CASR,,Down,,
CAT,,,,Down
CBFA2T2,,,Down,
CBFA2T3,,,Down,
CBFB,,,,Down
CBL,,,,Down
CBLB,,,,Down
CBLL1,,,,Down
CBLN1,,,,Down
CBLN2,,,,Down
CBR1,,,Down,
CBR4,,Down,,
CBWD1,,,Down,
CBX1,,,,Down
CBX2,,,,Down
CBX3,,,,Down
CBX5,,Down,,
CBX6,,,Down,
CBX8,,,,Down
CC2D1A,,Down,,
CC2D1B,,,,Down
CCAR1,,,,Down
CCDC106,,,,Down
CCDC115,,,,Down
CCDC117,,,Down,
CCDC12,,,,Down
CCDC120,,,Down,
CCDC124,,,,Down
CCDC126,,,Down,
CCDC127,,,,Down
CCDC130,,Down,,
CCDC134,,,Down,
CCDC137,,Down,,
CCDC14,,,,Down
CCDC149,,,,Down
CCDC167,,,,Down
CCDC174,,,,Down
CCDC18,,Down,,
CCDC22,,,Down,
CCDC25,,,Down,
CCDC28A,,,,Down
CCDC28B,,,,Down
CCDC43,,,Down,
CCDC47,,,,Down
CCDC50,,,Down,
CCDC51,,,,Down
CCDC58,,,,Down
CCDC59,,,,Down
CCDC6,,,,Down
CCDC71,,,Down,
CCDC77,,,,Down
CCDC82,,,,Down
CCDC85C,Down,,,
CCDC86,,,,Down
CCDC88A,,,,Down
CCDC88B,,,,Down
CCDC88C,,,,Down
CCDC92,,,,Down
CCDC93,,,,Down
CCDC94,,,Down,
CCDC97,,,,Down
CCM2,,,Down,
CCNA2,,,Down,
CCNB1,,Down,,
CCNB2,,,,Down
CCNC,,,,Down
CCNDBP1,,,,Down
CCNE1,,,Down,
CCNH,,,Down,
CCNK,,,,Down
CCNL2,,,,Down
CCNT1,,,Down,
CCNT2,Down,,,
CCNY,Down,,,
CCNYL1,,,,Down
CCP110,,,,Down
CCPG1,Down,,,
CCS,,,,Down
CCSER2,,,,Down
CCT2,,,,Down
CCT3,,,Down,
CCT4,,,,Down
CCT5,,,Down,
CCT6A,,,,Down
CCT7,,,,Down
CCT8,,,,Down
CCZ1,,,,Down
CD151,,,,Down
CD200,,,Down,
CD276,,,,Down
CD2BP2,,,Down,
CD302,,,,Down
CD320,,,,Down
CD3EAP,,,,Down
CD46,,,,Down
CD55,,,Down,
CD58,,,,Down
CD59,,,Down,
CD81,,,,Down
CD82,,Down,,
CD9,,,,Down
CD99,Down,,,
CD99L2,,,,Down
CDAN1,,,,Down
CDC123,,,,Down
CDC16,,,,Down
CDC20,,,,Down
CDC23,,,,Down
CDC25B,,,Down,
CDC25C,,,Down,
CDC27,,,,Down
CDC34,,,,Down
CDC37,,,,Down
CDC37L1,,,,Down
CDC40,,,Down,
CDC42,,,,Down
CDC42BPA,,,,Down
CDC42BPB,,,Down,
CDC42BPG,,,,Down
CDC42EP2,,,Down,
CDC42EP3,,,Down,
CDC42EP4,,,Down,
CDC42SE2,,,Down,
CDC45,,,,Down
CDC5L,,,Down,
CDC7,,Down,,
CDC73,,,,Down
CDCA2,,,Down,
CDCA3,,,,Down
CDCA7,,,,Down
CDCA7L,,Down,,
CDCA8,,,,Down
CDH12,,,,Down
CDH2,,,Down,
CDH22,,,Down,
