,RNA-seq 8h,RNA-seq 24h,Proteomics 8h,Proteomics 24h
CPEB2,Up,Up,,Up
CXCL10,Up,Up,Up,
DENND2D,Up,Up,,Up
DGKG,Up,Up,,Up
DNPEP,Up,Up,,Up
ELF3,Up,Up,Up,
ENDOD1,Up,Up,,Up
ERAP1,Up,Up,,Up
FAM3B,Up,Up,,Up
FAM76A,Up,Up,,Up
FAM83B,Up,Up,,Up
FAM84B,Up,Up,,Up
FGB,Up,Up,Up,
FMR1,Up,Up,,Up
FYCO1,Up,Up,,Up
FYTTD1,Up,,Up,Up
GALM,Up,Up,,Up
GCA,Up,Up,,Up
GMPR,Up,Up,,Up
GNB4,Up,Up,,Up
GPR180,Up,Up,,Up
GTPBP1,Up,Up,,Up
GTPBP2,Up,Up,,Up
HABP2,Up,Up,,Up
HLA-F,Up,Up,,Up
HSPA5,Up,Up,,Up
HTATIP2,Up,Up,,Up
ID1,Up,Up,Up,
IL22RA1,Up,Up,Up,
INPP1,Up,Up,,Up
IRF1,Up,Up,Up,
IRF2,Up,Up,Up,
KIAA1217,Up,Up,,Up
LIPA,Up,Up,,Up
LNPEP,Up,Up,,Up
LRSAM1,Up,Up,,Up
LYSMD2,Up,Up,,Up
MAX,Up,Up,,Up
MET,Up,Up,,Up
MIA2,Up,Up,,Up
MOB3C,Up,,Up,Up
MOV10,Up,Up,,Up
MT1E,Up,Up,Up,
N4BP1,Up,Up,,Up
NBN,Up,Up,,Up
NFKBIA,Up,Up,,Up
NUDCD1,Up,,Up,Up
OCLN,Up,Up,,Up
OTUD4,Up,Up,,Up
PDIA4,Up,Up,,Up
PLEKHA7,Up,Up,,Up
PPP2R2A,Up,Up,,Up
PRKCE,Up,Up,,Up
PROCR,Up,Up,,Up
PRPH,Up,Up,,Up
PRR15,Up,Up,,Up
PSME1,Up,Up,,Up
PSME2,Up,Up,,Up
PTK2B,Up,,Up,Up
QKI,Up,Up,,Up
RNASEL,Up,Up,,Up
RND3,Up,Up,,Up
RNF19B,Up,Up,Up,
RNF31,Up,Up,,Up
RPS6KC1,Up,Up,,Up
S1PR2,Up,Up,,Up
SECTM1,Up,Up,Up,
SEMA6D,Up,Up,Up,
SERPINB9,Up,Up,,Up
SH3BGRL,Up,Up,,Up
SHISA4,,Up,Up,Up
SLC12A7,Up,Up,,Up
SMCHD1,Up,Up,,Up
SP100,Up,Up,,Up
ST5,Up,Up,,Up
STAP2,Up,Up,,Up
STARD4,Up,Up,Up,
STX17,Up,Up,,Up
TANK,Up,Up,Up,
TMEM27,Up,Up,,Up
TMOD1,Up,,Up,Up
TNFAIP3,Up,Up,Up,
TNFRSF11A,Up,,Up,Up
TTC39B,Up,Up,,Up
TUBE1,Up,Up,,Up
TYMP,Up,Up,,Up
UBA6,Up,Up,,Up
UBA7,Up,Up,,Up
UBR2,Up,Up,,Up
UHRF1BP1,Up,Up,,Up
UTRN,Up,Up,,Up
VCPIP1,Up,Up,,Up
WARS,Up,Up,,Up
WBP4,Up,Up,,Up
WHAMM,Up,Up,,Up
XRN1,Up,Up,Up,
ZFYVE26,Up,Up,,Up
ZNF267,Up,Up,Up,
ACP2,Up,Up,,
ADCY8,Up,Up,,
ADPRH,Up,Up,,
AGT,Up,,Up,
AMBRA1,Up,Up,,
ATP10D,Up,Up,,
B3GNT5,Up,Up,,
BACE2,Up,Up,,
BAZ2A,Up,,,Up
BBX,Up,,,Up
BET1,Up,,Up,
BIRC2,Up,Up,,
BMPR2,Up,,Up,
BRCA2,Up,Up,,
BTN2A2,Up,Up,,
C11ORF52,Up,Up,,
C12ORF45,Up,,Up,
CA11,Up,,Up,
CALCOCO2,Up,,Up,
CARS,,Up,,Up
CDH6,Up,Up,,
CDKL5,Up,,Up,
CHMP4A,Up,Up,,
CHORDC1,Up,,,Up
CLIC5,Up,Up,,
CLIP4,Up,Up,,
CMC1,Up,Up,,
CNNM1,,Up,,Up
CORO2A,,Up,,Up
CPNE4,,Up,,Up
CTGF,Up,Up,,
CTSO,Up,Up,,
CWF19L1,Up,,,Up
DCP1A,Up,Up,,
DEPTOR,Up,Up,,
DGKE,Up,Up,,
EARS2,Up,,,Up
ECE1,Up,,,Up
EDEM2,Up,Up,,
EPB41L2,,Up,,Up
EXT1,Up,Up,,
FAM110C,Up,Up,,
FAM111A,Up,,Up,
FAM46C,,,Up,Up
FAM84A,Up,,,Up
FBXO44,,,Up,Up
FCHSD1,,Up,,Up
FKBP11,,Up,,Up
FRRS1,Up,Up,,
GANC,Up,Up,,
GCH1,Up,,,Up
GCLM,Up,,,Up
GCNT3,Up,Up,,
GRAMD1C,Up,Up,,
GRPR,Up,,Up,
GSTO1,Up,,,Up
HERC3,,,Up,Up
HERPUD1,Up,Up,,
HIRA,Up,Up,,
HIST1H2BJ,Up,Up,,
HIST2H2AA4,Up,Up,,
HNF4G,Up,,,Up
HPSE,Up,Up,,
HSPA1L,,,Up,Up
IFI30,Up,Up,,
IKBKE,Up,Up,,
IL18R1,Up,Up,,
IL1RAP,,Up,,Up
IMPA1,Up,,,Up
IPO4,Up,,,Up
IQGAP2,Up,,,Up
IRF8,Up,,Up,
IRS1,Up,Up,,
JUN,Up,Up,,
KAT2A,Up,Up,,
KATNA1,Up,,Up,
KRT8,Up,,,Up
LACC1,,,Up,Up
LAPTM4A,Up,,Up,
LIPT1,Up,,Up,
LMO2,Up,,Up,
LRIG3,Up,,Up,Down
LRP4,,Up,,Up
LYN,Up,Up,,
MAML2,Up,Up,,
MAP2,Up,,,Up
MAP2K6,Up,Up,,
