Cluster 1,Cluster 2,Cluster 3,Cluster 1A,Cluster 1B,Cluster 1C,Cluster 2B
FAM110C,CDK17,MATN1,,NCKAP1L,SKIDA1,GLRX
FAM115C,CDK18,FIGF,,NMI,SLC17A8,GPR180
FAM153B,CDK6,PLK1,,NUB1,SOCS2,GRI0
FAM169B,CDKL5,RAB3B,,NUGGC,SOCS3,GSTO1
FAM230A,CEACAM1,REPS2,,OAS3,SOX9,GTF2B
FAM46A,CEBPB,COL8A2,,OGFR,STARD8,HEXDC
FAM47E-STBD1,CES2,NEGR1,,PARP10,TEAD4,HHLA3
FAM69A,CHAC1,CEND1,,PARP12,TGM2,HIVEP1
FAS,CHMP5,MUC1,,PARP9,TLCD2,HIVEP2
FBXO6,CHRNB1,C2ORF76,,PHF11,TNFRSF1A,HRK
FBXW7,CHST11,PEAR1,,PIK3AP1,TNFSF11,IAPP
FERMT2,CITED2,LCN10,,PLEKHA4,TRIM7,ID1
FGA,CLDN23,NKAIN2,,PLEKHG7,WNT4,ID3
FGB,CLIP3,FAM72B,,PLSCR1,ZC3HAV1,ID4
FGG,CLMP,MMP23B,,PML,ZNF217,IMPA1
FGL1,CLN3,FAM72A,,PNPT1,,JAG1
FOS,CMC1,GJC2,,PPM1K,,KIAA0226
G0S2,CNP,PABPN1L,,PRKD2,,KIAA1217
GAD1,COL1A1,FAM72D,,PSMB10,,KLB
GADD45G,CP,C17ORF89,,RBM43,,KLF4
GBP1,CPEB2,DHFR,,RNF213,,LAMA1
GBP2,CR1L,LRRD1,,RP11-1220K2.2,,LGALS8
GBP3,CREBRF,JMJD7,,RPH3A,,LHFP
GBP4,CTGF,PCDHA10,,SAMD9,,LMO2
GBP5,CTH,ANKHD1-EIF4EBP3,,SAMHD1,,LNPEP
GCNT3,CTRL,NUDT3,,SEC16B,,LRP10
GDA,CTSO,0LCN,,SECTM1,,LYPD1
GIMAP2,CUEDC1,0T8L,,SELL,,LYPD5
GLRA3,CX3CL1,NOTCH3,,SIDT1,,LYSMD2
GRPR,CXCL16,NOTUM,,SOCS1,,MAP2
GSDMD,CXCL3,NPB,,STARD5,,MAX
HAPLN3,CXCL6,NRARP,,STAT1,,MIPOL1
HEG1,CXORF38,NT5DC2,,STAT2,,MMAA
HELB,CYSLTR2,NWD1,,SYNPO2,,MR1
HELZ2,CYTH1,PADI2,,TAP2,,MST1R
HERC5,DAB2IP,PARD6G,,TDRD7,,MSX1
HERC6,DCLRE1C,PDE1A,,TMEM140,,MTMR11
HLA-A,DCP1A,PLX04,,TNFSF10,,MYCBP2
HLA-B,DDIT3,PMF1-BGLAP,,TRANK1,,NBN
HLA-C,DECR1,PPP2R2C,,TRIM14,,NDUFA9
